 topology_rogers_ca.pktDropper_Victoria_Seattle (#0 - Scenario1VicVan-0-20180716-19:59:51-12298),
9904.478,99.0439999999999823
9905.576,99.0550000000000064
9910.885,99.1080000000000037
9916.948,99.1689999999999823
9917.8,99.177999999999997
9924.832,99.2479999999999901
9931.489,99.3139999999999923
9937.837,99.3779999999999856
9938.133,99.381
9947.724,99.4770000000000035
9956.617,99.566000000000002
9957.65,99.5759999999999931
9964.471,99.6440000000000051
9973.143,99.7309999999999941
9982.056,99.8199999999999926
9982.348,99.8229999999999787
9982.36,99.8229999999999787
9987.709,99.8769999999999808
9997.081,99.9699999999999985
10001.123,100.0109999999999953
10010.706,100.1069999999999988
10015.948,100.1589999999999914
10023.911,100.2390000000000039
